Seized Property Inventory Valued Over One Million Dollars,,,,,,,,
Fiscal Year 2015,,,,,,,,
,,,,,,,,
Aircraft,,,,,,,,
Location,Description,Equity,,,,,,
"Tel-Aviv, Israel            ",US Currency,"$5,071,390 ",,,,,,
"Jacksonville, FL        ",US Currency,"$5,177,315 ",,,,,,
"Lansing, MI             ",US Currency,"$6,005,189 ",,,,,,
"Four Oaks, NC           ",US Currency,"$6,062,116 ",,,,,,
"Chicago, IL             ",US Currency,"$6,226,425 ",,,,,,
"Athens, TN              ",US Currency,"$6,579,517 ",,,,,,
"Saint George, UT          ",US Currency,"$6,812,228 ",,,,,,
"New York, NY            ",US Currency,"$7,034,776 ",,,,,,
"New York, NY            ",US Currency,"$8,168,169 ",,,,,,
"Saint Louis, MO           ",US Currency,"$8,462,621 ",,,,,,
"La Habra, CA            ",US Currency,"$8,488,674 ",,,,,,
"Saint Petersburg, FL      ",US Currency,"$8,659,396 ",,,,,,
"New York, NY            ",US Currency,"$9,114,342 ",,,,,,
"Miami, FL             ",US Currency,"$9,221,491 ",,,,,,
"Washington, DC          ",US Currency,"$10,999,805 ",,,,,,
"New York, NY            ",US Currency,"$11,348,323 ",,,,,,
"Chicago, IL             ",US Currency,"$11,492,058 ",,,,,,
"New York, NY           ",US Currency,"$12,100,000 ",,,,,,
"Jacksonville, FL        ",US Currency,"$12,987,313 ",,,,,,
"New York, NY            ",US Currency,"$15,130,889 ",,,,,,
"New York, NY            ",US Currency,"$16,341,959 ",,,,,,
"Highland Park, IL       ",US Currency,"$18,516,069 ",,,,,,
"New York, NY            ",US Currency,"$19,929,983 ",,,,,,
"San Francisco, CA       ",US Currency,"$31,989,550 ",,,,,,
"New York, NY            ",US Currency,"$33,000,000 ",,,,,,
"New York, NY           ",US Currency,"$900,000,000 ",,,,,,
Financial Instrument,,,,,,,,
Location ,Description ,Equity,,,,,,
"Los Angeles, CA         ",Financial Instrument - Financial Account,"$1,046,785 ",,,,,,
"Atlanta, GA            ",Financial Instrument - Financial Account,"$1,067,035 ",,,,,,
"New York City, NY       ",Financial Instrument - Financial Account,"$1,499,056 ",,,,,,
"Los Angeles, CA        ",Financial Instrument - Financial Account,"$1,508,170 ",,,,,,
"Covington, NY           ",Financial Instrument - Financial Account,"$1,727,817 ",,,,,,
"Douglas, PA             ",Financial Instrument - Financial Account,"$1,949,641 ",,,,,,
"Fort Worth, TX          ",Financial Instrument - Perth Mint Precious Metals Certificates,"$2,668,636 ",,,,,,
"New York, NY            ",Financial Instrument - Stock Certificates,"$4,543,515 ",,,,,,
"Los Angeles, CA        ",Financial Instrument - Financial Account,"$5,132,218 ",,,,,,
"Lake Mary, FL           ",Financial Instrument - Investment Account,"$5,169,489 ",,,,,,
"Jacksonville, FL        ",Financial Instrument - Financial Account,"$5,634,451 ",,,,,,
"San Francisco, CA       ",Financial Instrument - Bitcoins,"$11,123,967 ",,,,,,
"New York, NY            ",Financial Instrument - Financial Account,"$17,414,239 ",,,,,,
"Jacksonville, FL        ",Financial Instrument -Financial Account,"$109,646,565 ",,,,,,
Jewelry/Precious Item,,,,,,,,
Location ,Description,Equity,,,,,,
"Lisle, IL               ",Assorted Gold and Silver,"$1,216,170 ",,,,,,
"Jersey City, NJ        ",Jewelry Inventory,"$2,084,500 ",,,,,,
"New York, NY           ",Miscellaneous Jewelry and Precious Items,"$2,236,728 ",,,,,,
"Coeur d'Alene, ID       ","Silver Coins, Bars  and Scrap Metal","$2,835,507 ",,,,,,
"Latrobe, PA             ",Miscellaneous Jewelry,"$5,128,642 ",,,,,,
Other,,,,,,,,
Location,Description,Equity,,,,,,
"Laredo, TX             ",Assorted Fragrances,"$1,171,448 ",,,,,,
Real Property ,,,,,,,,
Location,Description,Equity,,,,,,
"Miami, FL            ",Real Property,"$1,226,500 ",,,,,,
"Mountain Lakes, NJ ",Real Property,"$1,570,000 ",,,,,,
"Miami, FL              ",Real Property,"$2,439,600 ",,,,,,
"Miami, FL               ",Real Property,"$3,427,900 ",,,,,,
"New York, NY            ",Real Property,"$9,250,000 ",,,,,,
Vehicles ,,,,,,,,
Location,Description,Equity,,,,,,
"Miami, FL            ",Vehicle,"$1,015,100 ",,,,,,
"Miami, FL               ",Vehicle,"$1,447,700 ",,,,,,
